snr,pkt_count,crc,dr,bw,pow,avg_time,size,msgs_per_setting,test_type,std_dev_time,std_dev_snr
-2.5,21,4/5,SF7,125,2,1141,25,30,0,521,+0.4
+0.9,26,4/5,SF7,125,5,1218,25,30,0,479,+0.2
+4.1,28,4/5,SF7,125,8,1305,25,30,0,317,+0.4
+6.7,29,4/5,SF7,125,11,1221,25,30,0,510,+0.3
+7.6,30,4/5,SF7,125,14,1179,25,30,0,296,+0.2
+7.7,30,4/5,SF7,125,17,1300,25,30,0,427,+0.5
