snr,pkt_count,crc,dr,bw,pow,avg_time,size,msgs_per_setting,test_type,std_dev_time,std_dev_snr
+6.2,30,4/5,SF7,125,14,1074,25,30,3,531,+0.4
+6.5,30,2/3,SF7,125,14,1183,25,30,3,441,+0.3
+7.0,30,4/7,SF7,125,14,1283,25,30,3,527,+0.1
+4.2,30,1/2,SF7,125,14,1294,25,30,3,326,+0.2
