snr,pkt_count,crc,dr,bw,pow,avg_time,size,msgs_per_setting,test_type,std_dev_time,std_dev_snr
+8.2,20,4/5,SF7,125,14,1220,25,20,2,426,+0.4
+10.1,20,4/5,SF8,125,14,1554,25,20,2,583,+0.7
+10.0,20,4/5,SF9,125,14,2047,25,20,2,531,+0.5
+6.8,20,4/5,SF10,125,14,4032,25,20,2,644,+0.6
+6.4,20,4/5,SF11,125,14,7880,25,20,2,837,+0.4
+6.9,19,4/5,SF12,125,14,14220,25,20,2,1023,+0.5
